"1.0","STATE ABBREVIATION","STATE","DISTRICT","FEC ID#","(I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY VOTES","PRIMARY %","RUNOFF VOTES","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF ELECTION VOTES (LA)","GE RUNOFF ELECTION % (LA)","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","GE WINNER INDICATOR","FOOTNOTES"
"136.0","AZ","Arizona","08","H4AZ08066","","Clair","Van Steenwyk","Van Steenwyk, Clair","","R","19629.0","0.26742506811989103","","","","","","","","","",""
"137.0","AZ","Arizona","08","n/a","","","","","Party Votes:","R","73400.0","","","","","","","","","","",""
"138.0","AZ","Arizona","08","H2AZ08151","","Stephen","Dolgos","Dolgos, Stephen","","W(AE)/AE","2.0","1.0","","","41066.0","0.24188342286306663","","","","","",""
"139.0","AZ","Arizona","08","n/a","","","","","Party Votes:","AE","2.0","","","","","","","","","","",""
"140.0","AZ","Arizona","08","n/a","","","","","District Votes:","","73402.0","","","","169776.0","","","","","","",""
"141.0","AZ","Arizona","09","H2AZ09019 ","(I)","Kyrsten","Sinema","Sinema, Kyrsten","","D","31900.0","1.0","","","88609.0","0.5467598820204613","","","","","W",""
"142.0","AZ","Arizona","09","n/a","","","","","Party Votes:","D","31900.0","","","","","","","","","","",""
"143.0","AZ","Arizona","09","H2AZ09035 ","","Wendy","Rogers","Rogers, Wendy","","R","30484.0","0.6061401415732124","","","67841.0","0.4186113956387062","","","","","",""
"144.0","AZ","Arizona","09","H4AZ09023 ","","Andrew","Walter","Walter, Andrew","","R","19808.0","0.39385985842678756","","","","","","","","","",""
"145.0","AZ","Arizona","09","n/a","","","","","Party Votes:","R","50292.0","","","","","","","","","","",""
"146.0","AZ","Arizona","09","H4AZ02119","","Powell","Gammill","Gammill, Powell","","W(LIB)/LIB","52.0","1.0","","","5612.0","0.03462872234083252","","","","","",""
"147.0","AZ","Arizona","09","n/a","","","","","Party Votes:","LIB","52.0","","","","","","","","","","",""
"148.0","AZ","Arizona","09","n/a","","","","","District Votes:","","82244.0","","","","162062.0","","","","","","",""
"149.0","AZ","Arizona","H","n/a","","","","","Total State Votes:","","724755.0","","","","1467617.0","","","","","","",""
"150.0","","","","n/a","","","","","","","","","","","","","","","","","",""
"151.0","AR","Arkansas","01","H0AR01083","(I)","Rick ","Crawford","Crawford, Rick ","","R","Unopposed","","","","124139.0","0.632536075330181","","","","","W",""
"152.0","AR","Arkansas","01","H4AR01051 ","","Jackie","McPherson","McPherson, Jackie","","D","Unopposed","","","","63555.0","0.32383723300179357","","","","","",""
"153.0","AR","Arkansas","01","H4AR01069","","Brian Scott","Willhite","Willhite, Brian Scott","","LIB","Unopposed","","","","8562.0","0.043626691668025436","","","","","",""
"154.0","AR","Arkansas","01","n/a","","","","","District Votes:","","","","","","196256.0","","","","","","",""
"155.0","AR","Arkansas","02","H4AR02141 ","","French ","Hill","Hill, French ","","R","29916.0","0.5508377830970356","","","123073.0","0.5185732945687439","","","","","W",""
"156.0","AR","Arkansas","02","H4AR02158 ","","Ann","Clemmer","Clemmer, Ann","","R","12400.0","0.22831890996133308","","","","","","","","","",""
"157.0","AR","Arkansas","02","H4AR02166 ","","Conrad","Reynolds","Reynolds, Conrad","","R","11994.0","0.22084330694163137","","","","","","","","","",""
"158.0","AR","Arkansas","02","n/a","","","","","Party Votes:","R","54310.0","","","","","","","","","","",""
"159.0","AR","Arkansas","02","H4AR02133 ","","Patrick Henry","Hays","Hays, Patrick Henry","","D","Unopposed","","","","103477.0","0.436004719167404","","","","","",""
"160.0","AR","Arkansas","02","H4AR02174 ","","Debbie ","Standiford","Standiford, Debbie ","","LIB","Unopposed","","","","10590.0","0.04462141322209581","","","","","",""
"161.0","AR","Arkansas","02","H4AR02182 ","","Charles","Neely","Neely, Charles","","W","","","","","190.0","0.0008005730417562045","","","","","",""
"162.0","AR","Arkansas","02","n/a","","","","","District Votes:","","54310.0","","","","237330.0","","","","","","",""
"163.0","AR","Arkansas","03","H0AR03055 ","(I)","Steve","Womack","Womack, Steve","","R","Unopposed","","","","151630.0","0.7941446041846701","","","","","W",""
"164.0","AR","Arkansas","03","H4AR03057","","Grant ","Brand","Brand, Grant ","","LIB","Unopposed","","","","39305.0","0.20585539581532983","","","","","",""
"165.0","AR","Arkansas","03","n/a","","","","","District Votes:","","","","","","190935.0","","","","","","",""
"166.0","AR","Arkansas","04","H4AR04048 ","","Bruce","Westerman","Westerman, Bruce","","R","18719.0","0.544505206818314","","","110789.0","0.5374688911420408","","","","","W",""
"167.0","AR","Arkansas","04","H4AR04055 ","","Tommy ","Moll","Moll, Tommy ","","R","15659.0","0.45549479318168595","","","","","","","","","",""
"168.0","AR","Arkansas","04","n/a","","","","","Party Votes:","R","34378.0","","","","","","","","","","",""
"169.0","AR","Arkansas","04","H4AR04063 ","","James Lee","Witt","Witt, James Lee","","D","Unopposed","","","","87742.0","0.42566135127661536","","","","","",""
"170.0","AR","Arkansas","04","H4AR04071","","Ken","Hamilton","Hamilton, Ken","","LIB","Unopposed","","","","7598.0","0.03686005501355934","","","","","",""
"171.0","AR","Arkansas","04","H4AR04030 ","","Janis K.","Percefull","Percefull, Janis K.","","W","","","","","2.0","9.702567784564185e-06","","","","","",""
"172.0","AR","Arkansas","04","n/a","","","","","District Votes:","","34378.0","","","","206131.0","","","","","","",""
"173.0","AR","Arkansas","H","n/a","","","","","Total State Votes:","","88688.0","","","","830652.0","","","","","","",""
"174.0","AR","Arkansas","","n/a","","","","","","","","","","","","","","","","","",""
"175.0","","","","n/a","","","","","","","","","","","","","","","","","",""
"176.0","CA","California","01","H2CA02142","(I)","Doug","La Malfa","La Malfa, Doug","","R","75317.0","0.5344663638944082","","","132052.0","0.6103007782892426","","","","","W",""
"177.0","CA","California","01","H4CA01066","","Heidi","Hall","Hall, Heidi","","D","42481.0","0.3014547260857224","","","84320.0","0.3896992217107574","","","","","",""
"178.0","CA","California","01","H2CA01136","","Gregory","Cheadle","Cheadle, Gregory","","R","13909.0","0.09870139086006245","","","","","","","","","",""
"179.0","CA","California","01","H4CA01074","","Dan","Levine","Levine, Dan","","D","9213.0","0.06537751915980698","","","","","","","","","",""
"180.0","CA","California","01","n/a","","","","","District Votes:","","140920.0","","","","216372.0","","","","","","",""
"181.0","CA","California","02","H2CA06259","(I)","Jared","Huffman","Huffman, Jared","","D","99186.0","0.6791468383032627","","","163124.0","0.7499126533164157","","","","","W",""
"182.0","CA","California","02","H4CA02098","","Dale K.","Mensing","Mensing, Dale K.","","R","32614.0","0.22331473176075867","","","54400.0","0.25008734668358434","","","","","",""
"183.0","CA","California","02","H2CA02118","","Andy","Caffrey","Caffrey, Andy","","D","14245.0","0.09753842993597864","","","","","","","","","",""
"184.0","CA","California","02","n/a","","","","","District Votes:","","146045.0","","","","217524.0","","","","","","",""
"185.0","CA","California","03","H0CA10149","(I)","John","Garamendi","Garamendi, John","","D","54672.0","0.5347836293919712","","","79224.0","0.527246106748303","","","","","W",""
"186.0","CA","California","03","H4CA03096","","Dan","Logue","Logue, Dan","","R","47560.0","0.4652163706080288","","","71036.0","0.47275389325169703","","","","","",""
"187.0","CA","California","03","n/a","","","","","District Votes:","","102232.0","","","","150260.0","","","","","","",""
"188.0","CA","California","04","H8CA04152","(I)","Tom","McClintock","McClintock, Tom","","R","80999.0","0.5618921431247138","","","126784.0","0.6004906836416684","","","","","W",""
"189.0","CA","California","04","H4CA04102","","Arthur ""Art""","Moore","Moore, Arthur ""Art""","","R","32855.0","0.2279159787449533","","","84350.0","0.3995093163583317","","","","","",""
